date,league,event_id,matchup,pick,side,model_prob,edge,ml,units,result,profit
2026-09-04,cfb,401864495,San José State Spartans @ Eastern Michigan Eagles,Eastern Michigan Eagles ML,home,0.822,0.25,-148,1.0,,
2026-09-04,cfb,401866623,North Carolina A&T Aggies @ Georgia State Panthers,North Carolina A&T Aggies ML,away,0.59,0.544,2000,1.0,,
2026-09-04,cfb,401858429,Toledo Rockets @ Michigan State Spartans,Toledo Rockets ML,away,0.55,0.321,320,1.0,,
2026-09-04,cfb,401858206,Miami Hurricanes @ Stanford Cardinal,Stanford Cardinal ML,home,0.36,0.296,1400,0.79,,
2026-09-04,cfb,401858436,Fresno State Bulldogs @ USC Trojans,Fresno State Bulldogs ML,away,0.432,0.352,1100,0.95,,
2026-09-04,mlb,401816802,Milwaukee Brewers @ Cincinnati Reds,Cincinnati Reds ML,home,0.501,0.1,139,0.35,,
2026-09-04,mlb,401816797,Los Angeles Angels @ Pittsburgh Pirates,Los Angeles Angels ML,away,0.426,0.069,168,0.21,,
2026-09-04,mlb,401816801,Detroit Tigers @ Cleveland Guardians,Detroit Tigers ML,away,0.48,0.043,119,0.11,,
2026-09-04,mlb,401816803,San Francisco Giants @ New York Mets,San Francisco Giants ML,away,0.421,0.043,153,0.1,,
2026-09-04,mlb,401816808,St. Louis Cardinals @ Colorado Rockies,Colorado Rockies ML,home,0.505,0.056,113,0.17,,
2026-09-04,mlb,401816810,New York Yankees @ San Diego Padres,San Diego Padres ML,home,0.522,0.071,112,0.24,,
2026-09-04,mlb,401816809,Athletics @ Seattle Mariners,Athletics ML,away,0.422,0.08,180,0.25,,
2026-09-04,mlb,401816811,Washington Nationals @ Los Angeles Dodgers,Washington Nationals ML,away,0.441,0.166,248,0.54,,
2026-09-04,laliga,401882894,Real Madrid @ Real Betis,Real Betis ML,home,0.418,0.272,550,0.78,,
